participant,puzzle_id,music,silence,diff
avery,puzzle_001,49,50,-1
avery,puzzle_002,80,58,22
avery,puzzle_003,67,47,20
avery,puzzle_004,64,45,19
avery,puzzle_005,56,55,1
avery,puzzle_006,64,41,23
avery,puzzle_007,53,51,2
avery,puzzle_008,45,45,0
avery,puzzle_009,40,48,-8
avery,puzzle_010,46,65,-19
eugenia,puzzle_011,46,43,3
eugenia,puzzle_012,44,36,8
eugenia,puzzle_013,46,39,7
eugenia,puzzle_014,34,47,-13
eugenia,puzzle_015,43,41,2
eugenia,puzzle_016,57,52,5
eugenia,puzzle_017,44,38,6
eugenia,puzzle_018,39,48,-9
eugenia,puzzle_019,63,66,-3
eugenia,puzzle_020,42,46,-4
